id,packageName,owner,repo,dependencies
37,bpca,petrkeil,bPCA,,R2jags;MASS;Matrix;coda;reshape;lattice;
38,fdrreg,youjin1207,fdrreg,,testthat;knitr;rmarkdown;
39,clustools,wikiselev,clustools,,mclust;clusterCrit;reshape2;ggplot2;e1071;clue;data.table;shiny;parallel;foreach;doParallel;grid;gtable;scales;RColorBrewer;ROCR;robustbase;stats;MASS;rrcov;rrcovHD;Rtsne;pcaMethods;pcaReduce;
40,rintrobayarea,mkuzak,RIntroBayarea,,
41,fluxr,walkerjeffd,fluxr,,zoo;dplyr;lubridate;broom;ggplot2;gridExtra;testthat;
42,hierfstat,jgx65,hierfstat,,gtools;ade4;adegenet;ape;pegas;knitr;
43,timex,cbg-ethz,TiMEx,,gtools;graphics;igraph;RBGL;stats;knitr;
44,fishtools,AustralianAntarcticDivision,fishtools,,FSAdata;knitr;testthat;
45,econ,adamacosta,econ,,dplyr;tidyr;lubridate;
46,jfreels,jfreels,r_jfreels,,data.table;zoo;xts;RJSONIO;ggplot2;scales;lubridate;reshape2;plyr;dplyr;tidyr;magrittr;
47,micdata,yyolanda,MicData,,assertthat;knitr;testthat;
48,pilr.liitah.r,tdschenk,pilr.liitah.r,,pilr.api.r;httr;jsonlite;plyr;dplyr;xtable;ggvis;
49,sixsigma,emilopezcano,SixSigma,,grDevices;stats;graphics;qcc;grid;lattice;ggplot2;reshape2;nortest;e1071;scales;testthat;xtable;
50,baseline,khliland,baseline,,graphics;SparseM;grDevices;stats;methods;gWidgets;IDPmisc;lattice;pls;MASS;
51,rexpar,ChrisKust,rexpar,,matrixcalc;parallel;MASS;alphahull;
52,dataprov,bpbond,dataprov,,assertthat;digest;testthat;
53,writhings,hrbrmstr,writhings,,testthat;
54,safemerge,ohumblet,SafeMerge,,testthat;knitr;dplyr;magrittr;
55,ggvegan,gavinsimpson,ggvegan,,vegan;ggplot2;grid;reshape2;
56,seaaroundus,SeaAroundUs,rseaaroundus,,httr;jsonlite;ggplot2;grid;scales;rgdal;maps;sp;
57,dmarker,yu-shang,DMarker,,Rcpp;Rcpp;
58,mimosa,RGLab,MIMOSA,,methods;Formula;data.table;pracma;MCMCpack;coda;modeest;testthat;Rcpp;scales;Kmisc;parallel;knitr;MASS;plyr;reshape;Biobase;ggplot2;Rcpp;RcppArmadillo;
59,rmanhattanplot,KehaoWu,Rmanhattanplot,,ggplot2;ggplot2;
60,theolib,tpepler,theolib,,
61,pptreeviz,EK-Lee,PPtreeViz,,gridExtra;ggplot2;MASS;stats;Rcpp;Rcpp;RcppArmadillo;
62,fashar,foramashar,fashaR,,
63,rrustfib,yutannihilation,RRustFib,,RAutoGenRunTime;Rffi;
64,clairvoyant,JulieYe,clairvoyant,,Rcpp;Rcpp;knitr;testthat;
65,stplanr,ropensci,stplanr,,sp;jsonlite;maptools;raster;rgdal;rgeos;dplyr;magrittr;RgoogleMaps;openxlsx;leaflet;methods;httr;R.utils;stringi;stringr;readr;lubridate;RCurl;geosphere;Rcpp;igraph;RcppArmadillo;Rcpp;testthat;knitr;tmap;rmarkdown;
66,xrjulia,johnmchambers,XRJulia,,methods;XR;jsonlite;
67,dataproc,ksauby,dataproc,,dplyr;magrittr;data.table;reshape2;dplyr;magrittr;utils;data.table;reshape2;testthat;
68,resonate,tz-lom,ResonanceEngine,,Resonance;
69,reldist,ousuga,reldist,,
70,reflite,renkun-ken,reflite,,testthat;
71,cidian,qinwf,cidian,,Rcpp;RcppProgress;Rcpp;RcppProgress;stringi;pbapply;knitr;testthat;jiebaR;
72,lclass,rishi1226,lClass,,assertthat;mvtnorm;
73,d3plus,jpmarindiaz,d3plus,,reshape2;htmlwidgets;
74,dyngame,skranz,dyngame,,Rcpp;Rcpp;rgmpl;restorepoint;skUtils;
75,estc,rOpenGov,estc,,stringr;sorvi;bibliographica;ggplot2;dplyr;knitr;rmarkdown;
76,dsmxclient,datashield,dsMxClient,,dsBaseClient;dsGraphicsClient;dsStatsClient;
77,tikpics,imouzon,tikpics,,
78,meda,jjchern,meda,,dplyr;labelled;haven;
79,final9,aidanoneill,final9,,
80,final8,aidanoneill,final8,,
81,kootfwa,poissonconsulting,kootfwa,,assertthat;dplyr;raster;magrittr;rgdal;sp;rgeos;ggplot2;scales;devtools;
82,muir,alforj,muir,,DiagrammeR;dplyr;stringr;htmlwidgets;
83,final7,aidanoneill,final7,,
84,metabolomics,abhorrentPantheon,metabolomics,,limma;crmn;gplots;
85,final6,aidanoneill,final6,,
86,mejr,iamamutt,mejr,,ggplot2;tools;lubridate;lme4;rstan;loo;
87,pathmox,gastonstat,pathmox,,plspm;tester;plsdepot;
88,xlsx,95luyao,rexcel,,rJava;xlsxjars;
89,xlsx,Hgjerning,rexcel,,rJava;xlsxjars;
90,xlsx,ankursal,rexcel,,rJava;xlsxjars;
91,xlsx,dragua,xlsx,,rJava;xlsxjars;
92,tsfortunes,TalkStats,tsfortunes,,utils;
93,kidstats,geanes,kidstats,,earth;mda;caret;shiny;dplyr;shinythemes;rmarkdown;pander;boot;knitr;
94,entity,trinker,entity,,dplyr;ggplot2;NLP;openNLP;utils;testthat;
95,rwbclimate,ropensci,rWBclimate,,knitr;ggplot2;httr;plyr;rgdal;jsonlite;reshape2;sp;
96,kknn,KlausVigo,kknn,,igraph;Matrix;stats;graphics;
97,nmbubin,maehler,nmbuBIN,,
98,testvirtualclass,ThierryO,testvirtualclass,,lme4;methods;INLA;testthat;
99,spatialtoolbox,mtennekes,spatialToolbox,pkg,rgeos;sp;rgdal;raster;igraph;fields;vegan;
100,final3,aidanoneill,final3,,
101,spca,merolagio,spca,,formatR;knitr;ggplot2;reshape2;MASS;Matrix;
102,quantileequivalencemcmc,mdlerch,QuantileEquivalenceMCMC,,
103,final5,aidanoneill,final5,,
104,dames,npjc,dames,,
105,final4,aidanoneill,final4,,
106,faoswsflag,SWS-Methodology,faoswsFlag,,entropy;data.table;knitr;ggplot2;
107,faoswsflag,mkao006,sws_flag,,entropy;data.table;knitr;ggplot2;
108,s3ops,wch,s3ops,,
109,segue2,zachmayer,segue2,,rJava;caTools;testthat;knitr;
110,interactionset,LTLA,InteractionSet,,GenomicRanges;SummarizedExperiment;IRanges;S4Vectors;GenomeInfoDb;BiocGenerics;methods;Matrix;testthat;knitr;rmarkdown;BiocStyle;
111,fdth,jcfaria,fdth,,stats;grDevices;graphics;
112,biomartr,HajkD,biomartr,,biomaRt;Biostrings;data.table;dplyr;downloader;RCurl;XML;httr;stringr;knitr;rmarkdown;devtools;testthat;
113,pcrfn,fzwaeustc,pcrfn,,rgl;ggplot2;RColorBrewer;scales;reshape2;mgcv;
114,targos,seandavi,TARGOS,,
115,microplate,phonixor,MicroPlate,,foreign;gtools;plyr;methods;shape;devtools;testthat;roxygen2;gdata;openxlsx;readODS;xlsx;
116,optmatch,markmfredrickson,optmatch,,stats;methods;graphics;survival;Rcpp;Rcpp;RItools;digest;boot;biglm;testthat;brglm;arm;knitr;rmarkdown;pander;xtable;
117,rpython,cjgb,rPython-win,,RJSONIO;
118,rpython,cscheid,rpython,,rjson;
119,rpython,oscii,rPython,,RJSONIO;
120,jwutil,jackwasey,jwutil,,Rcpp;testthat;Rcpp;
121,convenientr,rpbscott,convenientr,,glmnet;
122,ncvreg,pbreheny,ncvreg,,parallel;
123,restrend,USGS-R,restrend,,g.data;dataRetrieval;lubridate;smwrBase;smwrGraphs;smwrStats;smwrQW;
124,quantumclone,DeveauP,QuantumClone,,fpc;foreach;doParallel;parallel;gridExtra;rgl;ggplot2;knitr;rmarkdown;
125,metapopplan,scrogster,METAPOPPLAN,,METAPOP;Rcpp;Rcpp;
126,perlrer,jimhester,perlrer,,assertthat;testthat;
127,fastspectra,edwardpmorris,FASTSpectra,,hyperSpec;yaml;lubridate;
128,enzalyze,adsteen,enzalyze,,
129,ghdb,metacran,ghdb,,httr;jsonlite;
130,affycoretools,jmacdon,affycoretools,,Biobase;affy;limma;GOstats;gcrma;splines;xtable;AnnotationDbi;ggplot2;gplots;oligoClasses;ReportingTools;hwriter;lattice;affydata;hgfocuscdf;BiocStyle;knitr;hgu95av2.db;rgl;
131,rccdates,cancercentrum,rccdates,,ISOweek;rccmisc;stringr;lubridate;testthat;
132,synergizer,onertipaday,SynergizeR,pkg,RJSONIO;RCurl;
133,hapsampler,geo047,HapSampler,,
134,mondrian,aursiber,Mondrian,,RColorBrewer;
135,spduration,andybega,spduration,,corpcor;graphics;plyr;MASS;separationplot;stats;Rcpp;xtable;testthat;Rcpp;RcppArmadillo;
136,crandb,metacran,crandb,,magrittr;falsy;jsonlite;parsedate;httr;assertthat;prettyunits;spareserver;methods;testthat;
137,tcsamsurveydata,wStockhausen,tcsamSurveyData,,ggmap;ggplot2;jpeg;plyr;raster;reshape2;rgdal;rgeos;scales;sp;sqldf;tcsamFunctions;wtsGMT;wtsUtilities;
138,faoswsbalancing,SWS-Methodology,faoswsBalancing,,ggplot2;Rsolnp;knitr;testthat;
139,r2ddi,ddionrails,r2ddi,,foreign;digest;XML;brew;tools;parallel;rjson;
140,vadr,crowding,vadr,,testthat;microbenchmark;digest;roxygen2;knitr;stringr;compiler;memo;
141,aprofw,mdjbru-R-packages,aprofW,,aprof;base64;highlight;
142,modeest,polmath,modeest,,stats;evd;fBasics;stabledist;VGAM;
143,spaa,helixcn,spaa,,vegan;
144,hw8jiayiliu,BattaLiu,HW8JiayiLiu,,testthat;knitr;rmarkdown;dplyr;
145,npflow,borishejblum,NPflow,,Rcpp;RcppArmadillo;truncnorm;Rcpp;RcppArmadillo;ggplot2;ggplot2;reshape2;gplots;pheatmap;ellipse;
146,import.gen,krlmlr,import.gen,,magrittr;clipr;dplyr;kimisc;rpart;testthat;disposables;
147,twit,FabienDufoulon,twit,,
148,activelearning,ramhiser,activelearning,,caret;entropy;itertools2;parallel;
149,peverify,jeremyrcoyle,PEVerify,,origami;data.table;jsonlite;foreach;reshape;plyr;earth;mgcv;zoo;testthat;class;glmnet;
150,alike,brodieG,alike,,cstringr;knitr;microbenchmark;unitizer;ggplot2;data.table;
151,biomart2,c5sire,biomart2,,RCurl;stringr;RJSONIO;tools;XML;
152,fanplot,gjabel,fanplot,,shiny;tsbugs;
153,fanplot,gragusa,fanplot2,,weights;shiny;tsbugs;
154,updater,AndreaCirilloAC,updateR,,rvest;dplyr;assertthat;
155,updater,drmjc,updateR,,codetools;tools;devtools;devtools;mjcbase;roxygen2;stringr;Rd2roxygen;R2roxygen;roxygen2;testthat;
156,mypack,cabralhenrique,R,,
157,concerto,wbuchanan,concerto,,DBI;rjson;RMySQL;
158,shadowy,kos59125,shadowy,,testthat;magrittr;
159,gisland,einarhjorleifsson,gisland,,dplyr;ggmap;ggplot2;jpeg;lubridate;magrittr;png;ora;RCurl;stringr;geo;knitr;raster;RColorBrewer;rgdal;rgeos;scales;sp;
160,pubmlst,jmarshallnz,pubmlst,,
161,nmftm,KentonWhite,nmftm,,plyr;dplyr;NMF;qdap;tm;stringr;reshape2;
162,nlsdata,google,NLSdata,,reshape2;RUnit;
163,hivclust,olli0601,hivclust,pkg,ape;adephylo;
164,rwrapstratagem,jrminter,rWrapStrataGem,,knitr;
165,rtemplate,bwtian,Rtemplate,,
166,rtemplate,llaniewski,rtemplate,,optparse;testthat;rjson;rPython;
167,bioradconfig,JovingeLabSoftware,BioradConfig,,RSQLite;jsonlite;curl;httr;knitr;
168,jda,EdwinTh,JDA_r_functions,,
169,gthor,G-Thomson,gthor,,ggplot2;scales;lubridate;ggthemes;extrafont;
170,hello,efletche,hello,,
171,hello,telnet2,hello,,
172,hello,xchirinos,hello,,
173,phyr6,dgromer,phyr6,,dplyr;dygraphs;magrittr;pracma;PythonInR;R6;Rcpp;signal;Rcpp;
174,cade,darrkj,CADE,,randomForest;
175,keboola.provisioning.r.client,keboola,provisioning-r-client,,httr;methods;testthat;keboola.redshift.r.client;
176,phyloseq.tools,zachcp,phyloseq-tools,,phyloseq;dplyr;readr;magrittr;stringr;leaflet;testthat;foreach;doParallel;
177,obabel2r,stanstrup,obabel2R,,ChemmineR;
178,rocr,ipa-tys,ROCR,,gplots;methods;
179,icomp,wrathematics,icomp,,stats;
180,tripestimation,mdsumner,tripEstimation,,lattice;mgcv;rgdal;sp;zoo;
181,xrpython,johnmchambers,XRPython,,methods;XR;rPython;
182,bookdown2,benmarwick,bookdown2,,rmarkdown;RJSONIO;yaml;stringr;captioner;pryr;testthat;
183,describedisplay,ggobi,DescribeDisplay,,reshape2;ggplot2;plyr;scales;grid;GGally;roxygen2;testthat;
184,qkmeanscluster,samuelpena,qKMeansCluster,,
185,cmdlinetools,matloff,cmdlinetools,,gtools;
186,st4gi,reyzaguirre,st4gi,,lme4;shiny;testthat;
187,cerberus,peterhurford,cerberus,,stringr;devtools;knitr;microbenchmark;testthat;
188,rewriter,nick-ulle,rewriteR,,testthat;
189,pkgnet,mbojan,pkgnet,,igraph;
190,bibtools,gmbecker,bibTools,,methods;bibtex;XML;RMendeley;RUnit;
191,plotflow,trinker,plotflow,,ggplot2;gridExtra;grid;graphics;gtable;GGally;ggdendro;ggthemes;ggmap;gplots;plotrix;reshape2;scales;
192,graphical,rich-iannone,graphical,,DiagrammeR;testthat;
193,winprop,AKitsche,WinProp,,knitr;testthat;
194,entropies,FJValverde,entropies,,entropy;ggtern;
195,fumar,yhoogstrate,FuMaR,,
196,gridplot,baptiste,gridplot,,grid;scales;RColorBrewer;gridExtra;dichromat;png;
197,aws.iam,cloudyr,aws.iam,,httr;XML;jsonlite;aws.signature;
198,purge,massmutual,purge,,methods;testthat;survival;lme4;ranger;randomForest;rpart;
199,steamr,drewlake,steamR,,
200,steamr,josegallegos07,steamR,,RCurl;RJSONIO;testthat;
201,redlistmatch,zross,redListMatch,,dplyr;gdata;magrittr;
202,robr,robchavez,robR,,
203,robr,robkemp,robR,,
204,coloccommoncontrol,mdfortune,colocCommonControl,,methods;MASS;BMA;coloc;mlogitBMA;nnet;ggplot2;snpStats;
205,eglen2015,sje30,eglen2015,,
206,basta,fercol,BaSTA,pkg,snowfall;
207,jnt,kmiddleton,jnt,,graphics;
208,svgg,mplourde,svgg,,proto;grid;gridExtra;ggplot2;shiny;htmltools;ggplot2;gridSVG;RJSONIO;scales;
209,stanregression,rtrangucci,stanRegression,,rstan;testthat;
210,svgr,mslegrand,svgR,,knitr;XML;stringr;shiny;
211,sirkr,Rakari,SirKR,,
212,dynmod,sbfnk,dynmod,,Rcpp;data.table;Rcpp;
213,sleuth,pachterlab,sleuth,,methods;ggplot2;dplyr;data.table;tidyr;reshape2;rhdf5;lazyeval;shiny;MASS;testthat;knitr;
214,rpushbullet,eddelbuettel,rpushbullet,,utils;RJSONIO;
215,patches,atredennick,patches,,
216,openmordm,OpenMORDM,OpenMORDM,,shiny;shinyRGL;rgl;scales;grid;prim;MASS;animation;sensitivity;boot;pracma;emoa;stringr;functional;dichromat;rpart;rpart.plot;party;stats;corrgram;lhs;rdyncall;gdata;RUnit;devtools;
217,dplyroracle,einarhjorleifsson,dplyrOracle,,utils;dplyr;DBI;ROracle;assertthat;
218,dplyroracle,tomasgreif,dplyrOracle,,utils;dplyr;DBI;ROracle;assertthat;
219,scanimage,jefferis,scanimage,,tiff;stringr;testthat;
220,ralmass,LDalby,ralmass,,data.table;ggplot2;gridExtra;lubridate;stringr;plyr;RColorBrewer;reshape2;rgdal;sp;sfsmisc;
221,sdmtools,jjvanderwal,SDMTools,,R.utils;adehabitat;raster;sp;
222,zebr,Ironholds,zebr,,httr;
223,spsann,samuel-rosa,spsann,,pedometrics;Rcpp;sp;SpatialTools;gstat;Rcpp;
224,windrose,tomhopper,windrose,,ggplot2;RColorBrewer;
225,expressionset,stela2502,ExpressionSet,,gplots;rgl;RSvgDevice;stringr;DESeq;biomaRt;Rsubread;testthat;
226,mg14,mg14,mg14,,RColorBrewer;grImport2;
227,memo,crowding,memo,,digest;testthat;knitr;rmarkdown;
228,roas,ReportMort,roas,,RCurl;XML;knitr;testthat;
229,roar,vodkatad,roar,,GenomicRanges;SummarizedExperiment;GenomicAlignments;methods;rtracklayer;S4Vectors;RUnit;BiocGenerics;RNAseqData.HNRNPC.bam.chr14;
230,r2pptaddons,markheckmann,R2PPTaddons,,R2PPT;
231,paperutils,jefferis,paperutils,,nat.utils;scholar;RefManageR;XML;testthat;roxygen2;
232,icdcoder,wtcooper,icdcoder,,data.table;dplyr;stringr;testthat;
233,meme,leeper,meme,,RCurl;RJSONIO;jpeg;png;tools;
234,wrds,jaiganeshp,WRDS,,proto;chron;gsubfn;reshape;RSQLite;RSQLite.extfuns;sqldf;testthat;zoo;
235,wrds,wthielen,wrds,,RJDBC;
236,matchedeset,jelletenhoeve,MatchedEset,,
237,plntmod,rdinnager,PLNT-model,,
238,fsamisc,droglenc,FSAmisc,,FSA;popbio;testthat;
239,simpler,alcideschaux,simpleR,,knitr;survival;ggplot2;
240,tweet2earth,SocialFunction,tweets2Earth,,streamR;sp;ROAuth;spacetime;knitr;
241,gtrellis,jokergoo,gtrellis,,grid;circlize;GetoptLong;testthat;knitr;GenomicRanges;RColorBrewer;markdown;ComplexHeatmap;
242,grgmodelingpackage,GarretsonGroup-RA,GRGModelingPackage,,
243,wreg,wfarmer-usgs,WREG,,knitr;
244,sqrpr,chrishaid,sqrpr,,dplyr;assertthat;ensurer;stringr;plyr;testthat;mapvizieR;
245,hmmt,gui11aume,HMMt,,methods;
246,hmms,csgillespie,HMMs,,Rcpp;RcppArmadillo;testthat;Rcpp;RcppArmadillo;inline;testthat;
247,laketrophicmodelling,USEPA,LakeTrophicModelling,,knitr;rmarkdown;randomForest;varSelRF;snowfall;parallel;knitr;ggplot2;grid;e1071;maps;mapproj;sfsmisc;
248,batchjobs,tudo-r,BatchJobs,,BBmisc;methods;brew;checkmate;data.table;DBI;digest;fail;parallel;RSQLite;sendmailR;stats;stringi;utils;MASS;testthat;
249,ultrafastmonkey,tjconstant,ultrafastMonkey,,akima;fields;scales;ggplot2;manipulate;
250,biosignals,lianos,biosignals,,IRanges;Rcpp;IRanges;testthat;roxygen2;IRanges;Rcpp;
251,easingr,mrbcuda,easingr,,utils;xts;lattice;latticeExtra;
252,isir,alrutten,isiR,,XML;RCurl;reshape;plyr;
253,autorox,CarlBoneri,autorox,,plyr;dplyr;devtools;roxygen2;autorox;shiny;XML;rvest;htmlwidgets;htmltools;reshape2;stringi;stringr;httr;PKI;base64enc;NLP;jsonlite;rdrop2;testthat;
254,fiducialsplines,dereksonderegger,fiducialSplines,,SemiPar;
255,helpr,hadley,helpr,,tools;base;brew;rjson;memoise;sinartra;evaluate;highlight;digest;parser;stringr;stats;utils;
256,helpr,mhminai,helpR,,
257,wmtools,CSJCampbell,WMTools,,
258,pmsignature,friend1ws,pmsignature,,ggplot2;dplyr;tidyr;Rcpp;GenomicRanges;S4Vectors;IRanges;XVector;Biostrings;BSgenome.Hsapiens.UCSC.hg19;Rcpp;TxDb.Hsapiens.UCSC.hg19.knownGene;knitr;rmarkdown;BiocStyle;testthat;ggvis;
259,spade,nolanlab,spade,,Biobase;flowCore;igraph;Rclusterpp;flowViz;igraph;Rclusterpp;
260,sleepr,jobonaf,sleepR,,
261,frog-trap,rosehartman,frog-trap,,popbio;foreach;doParallel;plyr;ggplot2;compiler;reshape2;
262,faoswsstandardization,SWS-Methodology,faoswsStandardization,,faosws;data.table;reshape;diagram;knitr;ggplot2;
263,lsprclient,gritsystems,LSPRClient,,jsonlite;RCurl;
264,hrbrmisc,hrbrmstr,hrbrmisc,,testthat;ggthemes;grid;scales;ggplot2;fastmatch;
265,cranvas,ggobi,cranvas,,methods;scales;plyr;qtbase;qtpaint;plumbr;objectSignals;objectProperties;SearchTrees;productplots;nlme;maps;mapdata;ggmap;RgoogleMaps;animation;randomForest;tourr;knitr;Rcartogram;
266,cranvas,schloerke,cranvasOLD,,qtbase;qtpaint;reshape;plyr;plumbr;productplots;gWidgetsRGtk2;
267,boxr,brendan-R,boxr,,httr;httpuv;assertthat;stringr;dplyr;digest;bit64;rio;mime;utils;stats;testthat;knitr;rmarkdown;
268,clanoptim,claus-e-andersen,clanOptim,,
269,fclhs,malexan,fclhs,,dplyr;ggvis;shiny;lubridate;stringr;countrycode;
270,brisbanebikeways,coolbutuseless,BrisbaneBikeways,,
271,moonbook,cardiomoon,moonBook,,nortest;survival;testthat;knitr;ggplot2;
272,cosmofont,seankross,cosmofont,,base64enc;httr;stringr;whisker;
273,acs14lite,walkerke,acs14lite,,acs;dplyr;jsonlite;stringr;
274,ggmcmc,xfim,ggmcmc,,dplyr;tidyr;ggplot2;GGally;coda;
275,multiplot,mdlincoln,multiplot,,grid;
276,multiplot,trineary,multiplot,,
277,mess,ekstroem,MESS,,geepack;MASS;Matrix;Rcpp;glmnet;kinship2;mvtnorm;parallel;Rcpp;RcppArmadillo;lme4;
278,seven11,thebigbird,seven11,,
279,svdd,funksp,svdd,,
280,funmodeling,pablo14,funModeling,,
281,abhac,mehrankr,AbHAC,,parallel;plyr;limma;edgeR;foreach;doMC;
282,cgdsr,cBioPortal,cgdsr,,R.oo;R.methodsS3;testthat;
283,setrank,C3c6e6,SetRank,,XML;data.table;igraph;R.rsp;
284,ggboxplots,heike,ggboxplots,,ggplot2;grid;proto;plyr;sm;hdrcde;reshape2;
285,x3pr,npetraco,x3pr,,tools;XML;rgl;shiny;tools;XML;rgl;shiny;
286,x3pr,tanyanap4,x3pr,,Rcpp;XML;akima;rgl;Rcpp;
287,netdiffuser,USCCANA,netdiffuseR,,Rcpp;sna;Matrix;SparseM;methods;grDevices;graphics;stats;utils;testthat;knitr;ape;Rcpp;RcppArmadillo;
288,xenar,mtmorgan,XenaR,,httr;knitr;
289,listred,balcomes,listRed,,httpuv;RJSONIO;R.utils;
290,cjustin.utils,JustinChu,cjustin.utils,,assertthat;dplyr;ggplot2;grid;knitr;testthat;
291,wrap,OrenBochman,WRAP,,R6;RCurl;XML;RJSONIO;testthat;
292,gtbase,tera-insights,gtBase,,rjson;testthat;
293,flipmultivariates,NumbersInternational,flipMultivariates,,sankeytreeR;MASS;hash;mice;colorspace;survey;rpart;tree;car;lmtest;RcmdrMisc;effects;flipU;flipPlots;plotly;flipU;
294,ggplot2movies,hadley,ggplot2movies,,
295,usfrbcp,mrbcuda,usfrbcp,,XML;plyr;utils;testthat;
296,sig2trial,leekgroup,sig2trial,,rpart;pROC;knitr;rmarkdown;knitrBootstrap;rattle;httr;htmlwidgets;rjson;knitr;
297,d61qa,okugami,d61qa,,
298,rcode4teaching,molpopgen,Rcode4teaching,,
299,refimpact,martingraham,refimpact,,tm;stringr;data.table;SnowballC;RWeka;RCurl;NLP;parallel;openNLP;openNLPmodels.en;qdap;munsell;topicmodels;lda;clue;ggplot2;LDAvis;servr;knitr;
300,dplyrnetezza,chappers,dplyrNetezza,,assertthat;RJDBC;dplyr;DBI;testthat;knitr;
301,honeylogging,avantcredit,analytics-honeylogging,,crayon;httr;testthatsomemore;microbenchmark;testthat;devtools;dplyr;
302,modutils,wtcooper,modUtils,,dplyr;data.table;stringr;caret;Hmisc;
303,dbsim,jmcurran,dbSim,,Rcpp;Rcpp;
304,gistr,ropensci,gistr,,utils;methods;stats;jsonlite;httr;magrittr;assertthat;knitr;rmarkdown;dplyr;git2r;testthat;
305,dmaps,jpmarindiaz,dmaps,,htmlwidgets;leaflet;yaml;pystr;reshape2;Hmisc;
306,celestial,asgr,celestial,,RANN;NISTunits;pracma;
307,trialistnof1,jservadio,TrialistNof1,,rjags;runjags;combinat;jsonlite;matrixStats;
308,cometh,PeteHaitch,cometh,,methods;Biobase;S4Vectors;IRanges;GenomeInfoDb;GenomicRanges;Rcpp;testthat;knitr;BSgenome.Hsapiens.UCSC.hg19;rtracklayer;Rcpp;
309,rdatamill,fozy81,rdatamill,,shiny;
310,rsparql,dsidavis,RSPARQL,,XML;RCurl;
311,ncappc,cacha0227,ncappc,,ggplot2;grid;gridExtra;scales;gtable;knitr;xtable;reshape2;testthat;dplyr;readr;lazyeval;
312,jkr,jkeirstead,jkr,,arm;randtoolbox;ggplot2;
313,survsimpack,daniel-conn17,survsimpack,,
314,oncosnputils,tinyheero,oncosnputils,,dplyr;data.table;knitr;
315,analitools,christiantillich,AnaliTools,,DBI;
316,prettyunits,gaborcsardi,prettyunits,,magrittr;assertthat;methods;testthat;
317,colourlovers,leeper,colourlovers,,XML;jsonlite;png;graphics;utils;testthat;
318,coarsedatatools,nickreich,coarseDataTools,,MCMCpack;graphics;stats;methods;
319,skyscraper,csiu,skyscraper,,testthat;
