pkgName,Repo,ExtDependencies
emme2,pschmied/emme2-r,reshape2;graphics
edda,luohuaien/EDDA,Rcpp;parallel;edgeR;snow;ROCR;DESeq;baySeq;graphics;methods;utils;stats
amcatr,amcat/amcat-r,tm;RCurl;httr;plyr;topicmodels;slam;Matrix;rjson;lda
lakemorpho,USEPA/lakemorpho,rgeos;maptools;sp;geosphere;rgdal;raster
poirot,ramnathv/poirot,slidify;yaml;stringr;whisker;markdown;knitr
pda,byandell/pda,lme4;lattice;MASS;stats
rvsharing,syounkin/RVsharing,;methods;kinship2;utils
makemymap,steingod/R-makemymap,ggplot2;;maptools;proj4
nsprcomp,chrsigg/nsprcomp,MASS;nsprcomp;testthat;stats
marketsim,gsk3/maRketSim,gsl;taRifx
surveydata,andrie/surveydata,stringr;foreign;plyr
fbdata,nfdisco/fbdata,methods
ascii,eusebe/ascii,ascii;cacheSweave;methods;weaver;utils
migration.indices,daroczig/migration.indices,calibrate
zendeskr,tcash21/zendeskR,rjson;RCurl
bib,woobe/bib,grid;tseries;foreach;domino;base64enc;ggplot2;microbenchmark;roxygen2;markdown;devtools;ff;doSNOW;quantmod;animation;Quandl;knitr;caret;RCurl;plyr;gbm;ggmap;e1071;png;shiny;ffbase;kernlab;dplyr;randomForest;dummies;abind;data.table;EBImage
rkindle,jmedzihorsky/RKindle,SoDA;rjson
hoarder,fischuu/hoardeR,httr;stringr;MASS;XML;R.utils
packman,hadley/packman,path;digest;assertthat;httr;memoise
home,qitools/home,httr;RJSONIO;stringr;ggplot2;qcc;reshape2
rprotobufutils,jeroenooms/RProtoBufUtils,RProtoBufUtils;RProtoBuf
rpublica,rOpenGov/RPublica,httr;jsonlite;RCurl
nat.as,jefferis/nat.as,rgl;tools;nat;httr;nat.utils;RANN;testthat;igraph;nat.as
plumbr,ggobi/plumbr,testthat;plumbr;objectSignals;methods;utils
pbutils,PacificBiosciences/R-pbutils,IRanges;Biostrings
ag.dev.cl,datashield/ag.dev.cl,fields;opaladmin;opal
modellator,rebordao/modellator,shiny;randomForest;testthat;ProjectTemplate;ROCR;modellatoR;data.table;knitr;rmarkdown
gtfsr,rustyb/GTFSr,RColorBrewer;hexbin;rgeos;plyr;ggplot2;doMC;rgdal;lubridate;ggmap;sp;methods;reshape2;scales
graphpipe,abelsonlive/graphpipe,stringr;igraph;plyr
pnuk73,ccg-esb/pNUK73,pracma;deSolve;car;Hmisc;extrafont
rnits,dipenps/rnits,splines;impute;limma;ggplot2;Biobase;boot;graphics;qvalue;methods;reshape2;affy
pepviz,raphg/pepViz,Biobase;Biostrings;GenomeGraphs;grid
nullabor,ggobi/nullabor,ggplot2;MASS;nullabor;plyr
proteinvis,gmbecker/ProteinVis,GenomicRanges;grid;latticeExtra;lattice;gridSVG
rdependencygraph,dfalster/rDependencyGraph,mvbutils
readods,phonixor/readODS,XML;testthat
rmassbankgui,ermueller/RMassBankGUI,RMassBank;tcltk2;yaml
de,dustinfife/DE,igraph;MASS;sem;MBESS;OpenMx
l15lutils,felipegonzalez/L15LUtils,plyr;maptools;ggplot2;reshape2;Hmisc
dsmx,datashield/dsMx,OpenMx
pubmedwordcloud,felixfan/PubMedWordcloud,tm;RColorBrewer;RCurl;stringr;XML;wordcloud
mycor,cardiomoon/mycor,mycor;lattice;testthat
commandr,tengfei/commandr,methods;utils
rpmc,ropensci/rpmc,OAIHarvester
npqp,alexanderzyryanov/NPQP,Rcpp
zillow,duncantl/Zillow,XML;RCurl
triples,Ambuj-UF/Triples,ape
plotmakefile,tdhock/plotMakefile,plotMakefile;diagram;RColorBrewer
bi,libbi/RBi,gridExtra;stringr;Rcpp;ncdf;ggplot2;reshape;bi;Quandl;manipulate
burnseverity,danielg7/Burn-Severity-R-Package,raster;plyr
portfolioanalytics,R-Finance/PortfolioAnalytics,gdata;quadprog;reldist;chron;foreach;RQuantLib;testthat;ROI;graphics;corrplot;microbenchmark;Cairo;lattice;extrafont;xts;PerformanceAnalytics;quantmod;ROI.plugin.cplex;doMC;corpcor;skewt;PortfolioAnalytics;TTR;Hmisc;pso;DEoptim;ROI.plugin.quadprog;rCharts;Ecdat;gplots;iterators;ROI.plugin.glpk;GenSA;Rglpk;ROI.plugin.symphony;LSPM;methods;rugarch;vcd;doParallel;Rcplex;xtable;zoo;multicore;FactorAnalytics
corpustools,kasperwelbers/corpus-tools,tm;RColorBrewer;slam;topicmodels;Matrix;corpustools;lda;reshape2;wordcloud
rfinancej,teramonagi/RFinanceJ,xts;dplyr;testthat;XML;magrittr
financialinstrument,gsee/FinancialInstrument,gdata;sendmailR;xts;PerformanceAnalytics;fasttime;quantmod;foreach;RQuantLib;testthat;qmao;doMC;FinancialInstrument;XML;zoo;TTR
nbpseq,diystat/NBPSeq,splines;NBPSeq;microbenchmark
survsim,dmorinya/survsim,statmod;eha
crlmmcompendium,rscharpf/crlmmCompendium,tools;RColorBrewer;IRanges;ellipse;SNPchip;DNAcopy;oligoClasses;cacheSweave;crlmmCompendium;lattice;crlmm;VanillaICE
nasaweather,hadley/nasaweather,stringr;dplyr;ggplot2;lubridate;rgdal;raster
rlucene,s-u/RLucene,rJava
dga,jayjacobs/dga,caret;tldextract;testthat;stringr
behrensrjags,jmlong94/BehrensRJags,R2jags;devtools;jagstools
morgenstemning,ajdm/morgenstemning,graphics;testthat
metaplot2,lc-ethan/metaplot2,meta;grid
rproject,byzheng/RProject,stringr;methods;utils
splitroc,taylorterry3/splitroc,reshape;AUC;ggplot2
xcms,haxney/xcms,mzR;rgl;multtest;faahKO;caTools;RANN;parallel;ncdf;MassSpecWavelet;methods;xcms
bibtools,gmbecker/bibTools,RCurl;XML;RMendeley;methods;bibtex
groan,wleepang/groan,groan;shiny;shinyIncubator;devtools
pangr,wleepang/pangr,plyr;grid
gwaexamples,AKitsche/GWAexamples,multcomp;nparcomp;coin
dsmxclient,datashield/dsMxClient,dsBaseClient;dsStatsClient;dsGraphicsClient
reprtree,araastat/reprtree,tree;plotrix;randomForest;pkg;reprtree;devtools
pace,uzhao/PACE,Rcpp;RcppEigen
heatmap2colden,andreasleha/heatmap2colden,gplots;coldendr;seriation
tir,bwtian/TIR,grid;directlabels;rasterVis;maptools;plotKML;wrspathrow;ggplot2;lattice;gstat;rgeos;spatstat;sp;reshape2;stats;R.cache;gridExtra;RColorBrewer;plyr;akima;oce;ggmap;rgdal;raster;gdalUtils;latticeExtra
adaptivemetropolis,tom-jin/AdaptiveMetropolis,mnormt;AdaptiveMetropolis;testthat;MASS;mvtnorm
lmmacros,vapniks/lm_macros,gtools
rsmith,hadley/rsmith,rsmith;yaml;digest;Rcpp;testthat;magrittr
froiatlas,bbuchsbaum/FROIAtlas,mclust;RColorBrewer;grid;neuroim;RSQLite;colorspace;cluster;multicore;clues;graphics;mvoutlier;methods;pdfCluster;optparse;devtools;stats
mondrianr,tomasgreif/mondrianr,RSQLite;DBI;sqldf;RPostgreSQL
semutils,JWiley/semutils,lavaan;ggplot2;boot;MplusAutomation;graphics;methods;reshape2
modest,petrikemppainen/MODEST,ape;igraph;gtools;multicore;Deducer
verisr,jayjacobs/verisr,gridExtra;grid;RCurl;rjson;testthat;ggplot2;data.table;verisr
xkcdpw,wrathematics/xkcdpw,XML;RCurl
yaletoolkit,jayemerson/YaleToolkit,iterators;foreach;grid
modopt.matlab,rhochreiter/modopt.matlab,quadprog;Rglpk
rgreenplum,guxiaobo/RGreenplum,RGreenplum;RPostgreSQL
flowdensity,RGLab/flowDensity,flowCore;RFOC;gplots;GEOmap;graphics;methods;car
cvst,tammok/CVST,kernlab;Matrix
fitbitshim,tdschenk/fitbitshim,httr;jsonlite;pilrapi
packageanalyzer,Dasonk/packageAnalyzeR,pacman
ecopdcorr,eliotmiller/ecoPDcorr,methods;phylobase
spidermonkey,omegahat/SpiderMonkey,SpiderMonkey;bitops;RGCCTUFFI;RAutoGenRunTime;Rffi;RGCCTranslationUnit
titlebot,davharris/Titlebot,twitteR;RCurl;stringr;CSS;elife
simtool,MarselScheer/simTool,plyr;simTool;RUnit;parallel;reshape
rregularity,wrathematics/RRegularity,magrittr;RRegularity
ksresamp,qiuxing/ksresamp,foreach
gwstats,jentjr/gwstats,RODBC;shiny;gwstats;RColorBrewer;plyr;NADA;dplyr;grid;EnvStats;testthat;ggplot2;XLConnect;animation;lubridate;spacetime;reshape2;scales;knitr
pretty,gaborcsardi/pretty,assertthat;magrittr;crayon;R6
twitterutils,matteoredaelli/twitteRutils,tm;twitteR;RColorBrewer;FactoMineR;stringr;RSQLite;logging;igraph;ggplot2;cluster;lattice;reshape2;wordcloud
timing,pdbaines/timing,methods
table.maker,gdemin/table.maker,dplyr;foreign
timeline,jbryer/timeline,shiny;timeline;ggplot2;XML;lattice;devtools
pcod,robschick/pcod,stringr;matrixStats;ggplot2;grid
rngtools,renozao/rngtools,digest;pkgmaker;stringr;parallel;methods
ripplerestr,hmalmedal/ripplerestr,assertthat;ripplerestr;httr;testthat;lubridate;jsonlite
rvclust,bushlab/rvclust,rms;fpc;cluster;ggplot2
antweb,ropensci/AntWeb,leafletR;assertthat;plyr;httr;rjson
swirl,ncarchedi/swirl_OLD,XLConnect;devtools
cvtools,aalfons/cvTools,lattice;stats;robustbase
spotifyapi,jamesthomson/SpotifyAPI,XML;rjson
sharkbase,seananderson/sharkbase,RpgSQL;plyr
imputation,jeffwong/imputation,gbm;TimeProjection;locfit;foreach
epivizr,epiviz/epivizr,GenomicRanges;GenomeInfoDb;OrganismDbi;hgu133plus2.db;R6;mime;httpuv;rtracklayer;S4Vectors;Mus.musculus;rjson;epivizr;Biobase;GenomicFeatures;methods;bumphunter;devtools
fusedlasso,jaredhuling/fusedlasso,rjson;mlogit
harlem,mrpozzi/HARLEM,copula;survival
pisa2003lite,pbiecek/PISA2003lite,PISA2003lite;SAScii;PISAtools;foreign;devtools
cranvas,ggobi/cranvas,ggplot2;objectSignals;maps;objectProperties;productplots;animation;plumbr;reshape2;tourr;knitr;plyr;Rcartogram;qtbase;qtpaint;methods;SearchTrees;scales;dplyr;profr;reshape;densityvis;cranvas;nlme
oligoclasses,rscharpf/oligoClasses-release,GenomicRanges;foreach;Biobase;graphics;ff;BiocGenerics;IRanges;SNPchip;doMC;affyio;Biostrings;VanillaICE;genomewidesnp6Crlmm;BSgenome.Hsapiens.UCSC.hg19;...;methods;oligoClasses;pd.mapping50k.hind240;BSgenome.Hsapiens.UCSC.hg18;pd.mapping50k.xba240;BiocInstaller;utils
lvws,Nektar-io/LvWS,plyr;stringr;RJSONIO;httr;XML
rdatumbox,dichika/rDatumBox,httr;jsonlite
agop,Rexamine/agop,grDevices;graphics;stats
rutils,ayee/rutils,twitteR;RCurl;ROAuth
graph,pshannon-bioc/graph,tools;stats;graph;hgu95a;Biobase;GO;methods;mva;utils;BiocGenerics
psaboot,jbryer/PSAboot,rpart;modeltools;mice;PSAboot;PSAgraphics;parallel;Matching;ggthemes;ggplot2;TriMatch;psych;pisa;graphics;party;knitr;reshape2;MatchIt;utils;devtools
inzightts,iNZightVIT/iNZightTS,grid
mutatr,hadley/mutatr,digest
pea,tgvaughan/PEA,ape
to1check,mmparker/to1check,plyr;ggplot2;lubridate;xtable;reshape2;scales
trialist.nof1.dpu,openmhealth/trialist.nof1.dpu,rjags
omnivr,stevepowell99/omnivr,riverplot;omnivr;RColorBrewer;wordcloud;plyr;stringr;dplyr;grid;gplots;reshape;ggplot2;pwr;pander;qgraph;png;psych;rgdal;scales;rworldmap;rapport
mcconsensus,vogatt/mc-consensus,parallel;foreach;doMC;cluster;clusterCons
ezr,alohr/ezr,ggplot2;grid
tcgr,lima1/tcgR,Biobase;reshape2;affy
datadict,ijlyttle/datadict,datadict;digest;assertthat;dplyr;testthat;tidyr
splatr,barryrowlingson/splatr,plyr
dsqdp,sebkopf/dsqdp,digest;plyr;stringr;grid;gWidgets;ggplot2;psych;gWidgetsRGtk2;graphics;zoo;reshape2;cairoDevice;scales;sqldf;RGtk2
rscr,Sage-Bionetworks/rSCR,RJSONIO;synapseClient;RCurl
parprogressbar,sritchie73/parProgressBar,itertools;iterators;foreach;utils
influenzanet,ntncmch/influenzanet,grid;parallel;igraph;ggplot2;nortest;PropCIs;wordcloud;tm;robustloggamma;reshape2;jsonlite;gridExtra;RColorBrewer;plyr;stringr;lubridate;binom;scales;car;myRtoolbox;compare;pracma;dplyr;doParallel;xtable;fdaMixed;nlme
gmpm,dalejbarr/gmpm,methods;parallel;nnet
r.methodss3,HenrikBengtsson/R.methodsS3,methods;utils
milk,milktrader/milk,PerformanceAnalytics
faoswsutil,mkao006/sws_util,data.table;faoswsFlag;roxygen2
bfastmonitor.rasterengine,bendv/bfastmonitor.rasterEngine,tura;RColorBrewer;spatial.tools;bfast;raster;devtools
unmarked,ianfiske/unmarked,reshape;methods;graphics;abind;lattice;utils;stats
contrib,psolymos/contrib,adegenet
interactivediagnostics,peytonm/InteractiveDiagnostics,shiny
cartopoo,joelgombin/cartoPOO,fields;plotrix;RColorBrewer;classInt;plyr;maptools;ggplot2;methods;spatialkernel;Hmisc
prevalence,brechtdv/prevalence,methods;rjags;coda
acl,NeilBramley/acl_package,igraph
ggit,ropensci/ggit,git2r;methods;scales;ggplot2
pfx,podpearson/pfx,GenomicRanges;gridExtra;RColorBrewer;malariagen;IRanges;VEDA;gplots;rtracklayer;ggplot2;VariantAnnotation;reshape2;Biostrings;BiocGenerics
cmmc,singmann/cmmc,MPTinR;optimx;microbenchmark;Rcgmin;methods;devtools
cmdsr,ginagruenhage/testcmds,Rcpp;RcppArmadillo;smacof;plyr
ebseq,Blahah/EBSeq,blockmodeling;gplots;EBSeq;outliers
syncsa,vanderleidebastiani/SYNCSA,mice;vegan;FD
mesh2d,michelk/mesh2d.R,rgeos;shapefiles;maptools;getopt;splancs;sp;spatstat;rgdal;optparse;geoR
iqcc,flaviobarros/IQCC,MASS;qcc;micEcon;miscTools
imatchit,ncarchedi/iMatchIt,stringr;yaml;MatchIt
geomtacofancy,tlevine/geom_tacofancy,ggplot2;RJSONIO;proto
regular,jimhester/regulaR,regulaR;magrittr;testthat
isochron,srmulcahy/isochron,MASS;ggplot2;plyr
backgroundexperimentyeast,stephaniehicks/BackgroundExperimentYeast,affy
snpbma,chr1swallace/snpBMA,BMA;gridExtra;snpStats;Matrix;pheatmap;ggplot2;reshape;snpBMA
reliefweb,luiscape/reliefweb,lubridate;jsonlite;RCurl
neurocdf,kkholst/neurocdf,Rniftilib;oro.nifti;tkrplot;misc3d;parallel;lava;ncdf;ncdf4;AnalyzeFMRI
ggphylo,gjuggler/ggphylo,proto;gridExtra;plyr;ape;phylosim;ggplot2;treebase
rweo,mingjerli/rWEO,dplyr
rcpphi,kindlychung/rcpphi,Rcpp
specstore,pierreroudier/specstore,plyr;stringr;reshape;methods;signal;lattice;reshape2
mathcamp,jrnold/pols_math_camp_2014,shiny
ramclustr,sneumann/RAMClustR,fastcluster;preprocessCore;xcms;dynamicTreeCut;ff
roow,OOW/roow,riverplot;proto;gridExtra;shiny;grid;ggplot2;htmltools;gridSVG
fitocracy,tjconstant/fitocracy,ggplot2;photonMonkey
rccess,ctfysh/rccess,RODBC
deform,abarbour/deform,deform;TeachingDemos;plyr;kook;Rcpp;maptools;datasets;irisws;rgdal;sp;reshape2;maps
ppmvb,antiphon/ppmvb,ppmvb;splines;vblogistic;spatstat;devtools
jiangmsim,iamaspacecoyote/JiangMsim,magic;Matrix;reshape;lme4;mvtnorm;nleqslv;rootSolve;knitr
openrepgrid,markheckmann/OpenRepGrid,rgl;pvclust;RColorBrewer;vcd;plyr;GPArotation;grid;stringr;lattice;colorspace;psych;XML;abind;latticeExtra;xtable;methods;tcltk
tukeyc,jcfaria/TukeyC,base;TukeyC
charme,zzawadz/CHARME,testthat;fGarch;MASS;CHARME;animation;robustbase;car
rbetfair,cdtait/rbetfair,rbetfair;xts;RCurl;plyr;bitops;rjson
rvw,alexkchavez/rvw,futile.logger;data.table;testthat
angsdr,vsbuffalo/angsdr,GenomicRanges;plyr
survaccuracymeasures,mdbrown/survAccuracyMeasures,splines;Rcpp;survival
raconteur,jeffreyhorner/raconteur,tools;codetools;parser;RCurl;stringr;RJSONIO;evaluate;rjson;datasets;rapache;XML;utils;sinartra
smoothratio,khughitt/smooth.ratio,matrixcalc;Rcpp;ggplot2;bsseq;locfit;signal;reshape2
customlayout,zzawadz/customLayout,customLayout
regmex,muhligs/Regmex,parallel
pcoddata,robschick/pcodData,grDevices
sshcc,TroyHernandez/sshcc,class
rkhsens,ajucode/RKHSENS,rgl;Matrix;pracma;RKHSENS
tss,rkrug/TSS,lattice
wrsel,andrewzm/WRSEL,shiny;Matrix;ggplot2;WRSEL;reshape2
events,conjugateprior/events,dplyr;xts
gensemble,petewerner/gensemble,methods
scriptgrass,RGRASS/scriptGRASS,spgrass6
tmcn,lijian13/tmcn,tmcn
ss3sim,ss3sim/ss3sim,r4ss;gridExtra;plyr;dplyr;parallel;foreach;ss3sim;bbmle;testthat;gtools;ggplot2;lubridate;doParallel;microbenchmark;magrittr;reshape2;devtools
usdanutrients,hadley/usdanutrients,httr;dplyr;devtools
climarkplus,whughes1/Climarkplus,zoo;MASS;lubridate
rlossintegrals,AndrewRGibson/RLossIntegrals,akima
bootstrip,brentp/bootstrip,multtest;limma;parallel
piperetalgmhbone,benmarwick/Stratigraphy-and-radiocarbon-dates-from-Gua-Mo-o-hono-Sulawesi,PiperetalGMHBone;knitr;stats
httpget,holstius/httpget,digest;RCurl
locu,jakobbossek/locu,checkmate;testthat;ggplot2;BBmisc;locu;methods;devtools
gridsvg,sjp/gridSVG,grid;RJSONIO;lattice;XML;methods;gridSVG
sugarbag,ebimodeling/sugarbag,udunits2;dplyr;lubridate;data.table;sugarbag;lattice;reshape2
malte,polarise/MaLTE,quantregForest;limma;party;methods;multicore
rtokyocabinet,syou6162/RTokyoCabinet,RUnit;RTokyoCabinet
lossdb,merlinoa/lossdb,dplyr;lossdb;testthat;ggplot2;ChainLadder;reshape2;scales;knitr
randomfunctions,chr1swallace/random-functions,RColorBrewer;grid;ggplot2;reshape;mvtnorm;xtable;ggdendro
gpredictr,victorwyee/gpredictr,bitops;rjson;RCurl
acss,singmann/acss,testthat;MASS;acss.data;roxygen2;zoo;lattice;effects;devtools
ggcluster,pentalibra/ggcluster,mclust;tree;plyr;ggplot2;cluster;stats
trmm,dutri001/trmm,SPEI;plyr;stringr;lubridate;bfast;zoo;raster
websockets,rstudio/R-Websockets,caTools;digest;websockets
coursedata,gschofl/coursedata,slidify
pdsr,gvegayon/PDSR,PDSR;plyr;RCurl;ggplot2;XML;GGally;reshape2;scales
rdk,dakl/rdk,grid
snbio,mpioSNB/snbIO,tcltk2;plyr;sdb;DBI;party;tcltk
newscraper,Planeshifter/newscrapeR,twitteR;RSQLite;newscrapeR;rjson;methods;R.utils
rsquared,stevencarlislewalker/Rsquared,popmoments;Rsquared;testthat
climclass,c5sire/climclass,climatol;stringr
almacannot,gdario/almacannot,org.Hs.eg.db;almacannot;testthat;AnnotationDbi
blockdesigns,RNED/block_designs,crossdes
sofun,mrdwab/SOfun,stringr;data.table;XML;reshape2;Hmisc
arcdiagram,gastonstat/arcdiagram,igraph
hamimc,yfyang86/hamimc,numDeriv;rv;Rcpp;coda;snow;compiler;mvtnorm
sandboxr,Rapporter/sandboxR,RCurl;parser;stats
mex,tierneyn/mex,rpart;mi;rpart.plot;dplyr;ggplot2;gbm;magrittr;knitr
aermod,holstius/aermod,sp;lubridate
inzight,sjp/iNZight,gdata;grid;vit;gWidgets;MASS;lattice;mgcv;RODBC;gpairs;iNZightRegression;RGtk2;rgl;s20x;R2HTML;boot;cairoDevice;car;fields;barcode;iNZightMR;gWidgetsRGtk2
swishdbtools,swish-climate-impact-assessment/swishdbtools,RODBC;plyr;tcltk;devtools;R2HTML;testthat;RJDBC;swishdbtools;fgui;XLConnect;rgdal;foreign;sqldf;RPostgreSQL
matchcall,brodieG/matchcall,matchcall;unitizer
listcondense,trinostics/trees,listcondense;testthat
no2,patabongo/NO2,stats;plyr
cachesweave,rdpeng/cachesweave,digest;filehash;cacheSweave;utils;stashR
imtox,kdauria/imTox,ggplot2;knitr
burndown,dankelley/burndown,burndown
yourpkg,rsm12345/programmingAssignment7,nlme
sysfonts,yixuan/sysfonts,R2SWF;showtext
rgooglemaps,markusloecher/RgoogleMaps,stats;TeachingDemos;RColorBrewer;grid;PBSmapping;RJSONIO;maptools;rgdal;graphics;rimage;sp;utils;png
rucsims,DASpringate/rUCsims,ggplot2;reshape2;parallel;scales
myrl,watermouth/RL,Rcpp;MyRL
rhumidity,ecor/RHUMIDITY,Interpol.T;RMAWGEN;RHUMIDITY;roxygen2;zoo;lattice
managelocalrepo,imanuelcostigan/managelocalrepo,tools;assertthat;stringr
apmstools,eahrne/apmsTools,seqinr;apmsTools;optparse
ksm,jeslipp/ksm,stringr;dplyr;igraph;data.table;seqinr
csd.toolbox,diogo-almeida/csd.toolbox,orthopolynom
shiny,pacificobob/shinymod,tools;shiny;digest;RJSONIO;httpuv;testthat;datasets;xtable;Cairo;methods;markdown;caTools;utils;stats
finviz,stephansgit/finViz,PerformanceAnalytics;dplyr;ggplot2;lubridate;zoo;reshape2;scales
g2chvc,sje30/g2chvc,gridExtra;RColorBrewer;grid;randomForest;ggplot2;g2chvcdata;g2chvc;rhdf5;sjemea
rlabkey,RGLab/Rlabkey,Rcpp;rjson;RCurl
gateveys2,mbannert/gateveys2,stringr;zoo;data.table
surveillance,dirkschumacher/surveillance-fork,vcd;polyCub;Rcpp;Matrix;surveillance;maptools;mgcv;MASS;spatstat;boot;xtable;graphics;sp;methods;grDevices;msm;utils;stats
nchelper,mdsumner/nchelper,RNetCDF
entropd,yongcha/entroPD,rpart;pbapply;plyr;grid;parallel;ggplot2;doParallel;reshape2;mgcv
bocra,deepayan/bocra,lattice;bocra;qtutils
optionpricingstuff,franc00018/OptionPricingStuff,parallel
paenhance,kecoli/PAenhance,nor1mix;WriteXLS;MASS;fBasics;boot;sn;xtable
